hostSpec,adultMassKg
Peromyscus maniculatus,0.02
Peromyscus boylii,0.02
Liomys irroratus,0.05
Mustela vison,0.9
Felis silvestris,4.5
Mazama americana,20.3
Marmota caligata,22.5
Canis familiaris,30
Canis lupus,35
Antilope cervicapra,35.9
Antilocapra americana,46.9
Vulpes vulpes,48.4
Cervus nippon,53
Dama dama,56.2
Homo sapiens,58.7
Axis axis,69.5
Oreamnos americanus,71.3
Ovis canadensis,74.6
Odocoileus virginianus,75
Odocoileus hemionus,83.8
Sus scrofa,84.5
Ammotragus lervia,93.2
Rangifer tarandus,108
Rangifer tarandus caribou,108
Ursus americanus,111
Equus asinus,180
Cervus elaphus,240
Cervus elaphus canadensis,240
Equus mulus,285.7
Equus caballus,400
Alces alces,481
Alces americanus,481
Alces americanus americanus,481
Bos taurus,613
Bison bison,620
